ID,ホテル名,名前,世代,投稿日,個人評価,コメントURL,タイトル,コメント,コメントHTML
1,ダミーホテル名1,ぽぽたさん,女性/50代,投稿日：2023/12/18,2,http://www.dummyhotel1.com/34051541,高濃度炭酸風呂が売りじゃないの？,"館内は清潔感があり食事もとても良かったです。
ただ、高濃度炭酸泉のお風呂があるということでこちらを予約したのに、故障というお知らせがエレベーター内に貼ってあるだけ。というのがとても残念でした。
チェックイン時に説明もされず、フロント係員の声も小さすぎて聞こえづらく、両サイドに居た別の係員の声の方が良く聞こえるくらいでした。
また、枕の提供ですが、3人宿泊なのに部屋の枕が2つしかなく、気が付いたのは夜23時頃。
枕のサービスがあったので取りに行ったところ、既に終了時間となっており、警備員のおじさんにさー帰った帰ったとばかりの勢いでエレベーターに追い出され、結局1名枕無しで寝ました。
これでは身体は休まりません。
この2点が無ければまた行きたい。友人にも勧めたいと思いますが、もう無いと思います。",<p>館内は清潔感があり食事もとても良かったです。<br/>ただ、高濃度炭酸泉のお風呂があるということでこちらを予約したのに、故障というお知らせがエレベーター内に貼ってあるだけ。というのがとても残念でした。<br/>チェックイン時に説明もされず、フロント係員の声も小さすぎて聞こえづらく、両サイドに居た別の係員の声の方が良く聞こえるくらいでした。<br/>また、枕の提供ですが、3人宿泊なのに部屋の枕が2つしかなく、気が付いたのは夜23時頃。<br/>枕のサービスがあったので取りに行ったところ、既に終了時間となっており、警備員のおじさんにさー帰った帰ったとばかりの勢いでエレベーターに追い出され、結局1名枕無しで寝ました。<br/>これでは身体は休まりません。<br/>この2点が無ければまた行きたい。友人にも勧めたいと思いますが、もう無いと思います。</p>
2,ダミーホテル名1,,女性/60代,投稿日：2023/12/15,4,http://www.dummyhotel1.com/73132592,大浴場の脱衣所にかごがほしい,脱衣所に鍵付きのロッカーがあるのは便利ですが、混雑時はロッカーが空くまで待っている人がいました。かごがあれば、ロッカーの前でなくても服の着脱ができますし、その間にロッカーが空くことでしょう。是非かごを置いてください。,<p>脱衣所に鍵付きのロッカーがあるのは便利ですが、混雑時はロッカーが空くまで待っている人がいました。かごがあれば、ロッカーの前でなくても服の着脱ができますし、その間にロッカーが空くことでしょう。是非かごを置いてください。</p>
3,ダミーホテル名1,はすきーさん,女性/20代,投稿日：2023/12/15,5,http://www.dummyhotel1.com/52952489,東京駅の近くで立地最高,"旅行のため利用させて頂きました。東京駅の近くで部屋もお風呂もきれいでとてもよかったです。
一点だけ残念なところをあげるとしたら、スーパーホテルでは定番の選べる枕が残ってなかったことです。海外からの方も多かったので何個か持っていってしまったのかもしれませんが、そこが少し残念でした。
しかし、それ以外はとてもよかったのでまた利用したいです。",<p>旅行のため利用させて頂きました。東京駅の近くで部屋もお風呂もきれいでとてもよかったです。<br/>一点だけ残念なところをあげるとしたら、スーパーホテルでは定番の選べる枕が残ってなかったことです。海外からの方も多かったので何個か持っていってしまったのかもしれませんが、そこが少し残念でした。<br/>しかし、それ以外はとてもよかったのでまた利用したいです。</p>
4,ダミーホテル名1,アナンキーさん,男性/40代,投稿日：2023/12/14,3,http://www.dummyhotel1.com/88852230,良くも悪くもスーパーホテル,"全国共通、同じレベル。
可もなく不可もなし。
東京なので仕方ないがやっぱり高く感じる。
外国人観光客が多いのでタイミングによっては
チェックインに相当手間取る。それもそのはずで
チェックインだけでなく他の案内にスタッフが
取られてしまうから。もう少しスムーズだったらなぁと
いつも思うが、まぁそこは丁寧な接客として仕方ないと
割り切るしかなさそう。東京駅すぐだし場所も良い。
ただWi-Fiが終わってる。これも全国共通でWi-Fiがダメ。",<p>全国共通、同じレベル。<br/>可もなく不可もなし。<br/>東京なので仕方ないがやっぱり高く感じる。<br/>外国人観光客が多いのでタイミングによっては<br/>チェックインに相当手間取る。それもそのはずで<br/>チェックインだけでなく他の案内にスタッフが<br/>取られてしまうから。もう少しスムーズだったらなぁと<br/>いつも思うが、まぁそこは丁寧な接客として仕方ないと<br/>割り切るしかなさそう。東京駅すぐだし場所も良い。<br/>ただWi-Fiが終わってる。これも全国共通でWi-Fiがダメ。</p>
5,ダミーホテル名1,Honeyさん,男性/50代,投稿日：2023/12/13,5,http://www.dummyhotel1.com/83990233,接客が素晴らしい,"フロントのスタッフの方々の接客が大変素晴らしかったです
部屋は清潔感があり大型スーツケースを広げても充分なスペースでした
朝食は料理の品数も多く補充も早く素晴らしいと思いました",<p>フロントのスタッフの方々の接客が大変素晴らしかったです<br/>部屋は清潔感があり大型スーツケースを広げても充分なスペースでした<br/>朝食は料理の品数も多く補充も早く素晴らしいと思いました</p>
6,ダミーホテル名1,ねねさん,女性/50代,投稿日：2023/12/12,5,http://www.dummyhotel1.com/7843058,便利さがgood！,"お世話になりました。
東京に宿泊する時の定宿です。部屋は綺麗だし大浴場があるのでゆったりとお風呂に入れるしで言うことなしです。今回は素泊まりでしたが、朝食も美味しいです。東京駅近くで便利なうえに、目の前に八重洲ミッドタウンが出来たので、ますます利用することが増えそうです。",<p>お世話になりました。<br/>東京に宿泊する時の定宿です。部屋は綺麗だし大浴場があるのでゆったりとお風呂に入れるしで言うことなしです。今回は素泊まりでしたが、朝食も美味しいです。東京駅近くで便利なうえに、目の前に八重洲ミッドタウンが出来たので、ますます利用することが増えそうです。</p>
7,ダミーホテル名1,ジュゴンさん,女性/60代,投稿日：2023/12/11,4,http://www.dummyhotel1.com/73419690,東京駅直近で超便利。,"　部屋おまかせプランで期待はしていませんでしたが、思ったより狭く、又、部屋の照明が暗くて私達には本の文字が読みづらく調べ物が出来ませんでした。ビジネスホテルは寝るだけって感じでしょうか。
　でも東京駅の直近でどこへ行くにも便利でしたし、朝食も美味しく、ホテルスタッフはいつも明るく声をかけてくれるので、雰囲気は良かったです。
　大浴場も有り良かったのですが、売りにしている高濃度炭酸泉が15分～20分以上入るのが効果的と書いてある割には1～2人しか入れないので、延々と空くのを待つか、諦めて出るしか無く残念でした。",<p>　部屋おまかせプランで期待はしていませんでしたが、思ったより狭く、又、部屋の照明が暗くて私達には本の文字が読みづらく調べ物が出来ませんでした。ビジネスホテルは寝るだけって感じでしょうか。<br/>　でも東京駅の直近でどこへ行くにも便利でしたし、朝食も美味しく、ホテルスタッフはいつも明るく声をかけてくれるので、雰囲気は良かったです。<br/>　大浴場も有り良かったのですが、売りにしている高濃度炭酸泉が15分～20分以上入るのが効果的と書いてある割には1～2人しか入れないので、延々と空くのを待つか、諦めて出るしか無く残念でした。</p>
8,ダミーホテル名1,じーみきゃんさん,女性/40代,投稿日：2023/12/10,5,http://www.dummyhotel1.com/89547895,接客が素晴らしい！,講習会の会場から一番近かったので初めて利用しました。駅からも近くとても分かりやすかったです。ウェルカムドリンクや無料珈琲やお水などがあり、快適に過ごせました。お部屋は狭かったのですが、ベッドは広々で二人で寝ても問題ありませんでした。何よりもよかったのは、接客です！笑顔でとても親切でした。また利用したいです！,<p>講習会の会場から一番近かったので初めて利用しました。駅からも近くとても分かりやすかったです。ウェルカムドリンクや無料珈琲やお水などがあり、快適に過ごせました。お部屋は狭かったのですが、ベッドは広々で二人で寝ても問題ありませんでした。何よりもよかったのは、接客です！笑顔でとても親切でした。また利用したいです！</p>
9,ダミーホテル名1,ねこさん,女性/40代,投稿日：2023/12/6,4,http://www.dummyhotel1.com/74995289,利便性は、素晴らしい,"東京駅から近く、何処に観光するにも利便性良し。
ただし、部屋に入るにも、大浴場に行くにも、全く違う6桁の暗所番号が必要なのに驚きました！
安全性が必要なのはわかりますが、疲れてホテルに帰って部屋に入るにも、サッと入れない…
後、朝食に、野菜ジュースが飲みたかったです。
また、東京来る際は、宿泊したいのでよろしくお願いします。",<p>東京駅から近く、何処に観光するにも利便性良し。<br/>ただし、部屋に入るにも、大浴場に行くにも、全く違う6桁の暗所番号が必要なのに驚きました！<br/>安全性が必要なのはわかりますが、疲れてホテルに帰って部屋に入るにも、サッと入れない…<br/>後、朝食に、野菜ジュースが飲みたかったです。<br/>また、東京来る際は、宿泊したいのでよろしくお願いします。</p>
10,ダミーホテル名1,ころっけさん,女性/40代,投稿日：2023/12/6,4,http://www.dummyhotel1.com/78766857,想像より良かった,"1人旅でダブルの部屋に宿泊しました。
ミッドタウン八重洲の裏側にあり、東京駅からも近くて便利でした。
部屋の大半はベッドに占領されていますが、備品類はコンパクトにまとまっており、使いやすいし圧迫感を感じない快適な空間でした。
大浴場で22時前からは常に混雑していたようです。混雑状況は部屋のTVで確認できるので便利です。
VR見放題プランでしたが、都合により部屋での滞在時間が短いので利用しませんでした。
フロントスタッフはみなさん笑顔で丁寧に対応してくださり、とても気持ちが良いです。
また利用したいです。",<p>1人旅でダブルの部屋に宿泊しました。<br/>ミッドタウン八重洲の裏側にあり、東京駅からも近くて便利でした。<br/>部屋の大半はベッドに占領されていますが、備品類はコンパクトにまとまっており、使いやすいし圧迫感を感じない快適な空間でした。<br/>大浴場で22時前からは常に混雑していたようです。混雑状況は部屋のTVで確認できるので便利です。<br/>VR見放題プランでしたが、都合により部屋での滞在時間が短いので利用しませんでした。<br/>フロントスタッフはみなさん笑顔で丁寧に対応してくださり、とても気持ちが良いです。<br/>また利用したいです。</p>